47, 66
47, 68
48, 68
48, 67
46, 67
42, 56
44, 56
43, 56
37, 45
36, 46
37, 46
36, 45
53, 54
53, 53
53, 55
50, 57
49, 57
50, 59
50, 58
52, 58
53, 58
56, 57
55, 57
57, 57
53, 60
51, 60
52, 62
51, 64
55, 62
52, 63
52, 65
53, 66
52, 66
51, 65
53, 65
56, 66
55, 67
56, 67
60, 62
61, 64
59, 61
58, 61
60, 63
57, 62
57, 61
57, 63
58, 65
58, 66
57, 66
57, 67
57, 68
59, 68
58, 67
58, 69
62, 66
62, 67
63, 67
60, 68
61, 68
58, 68
62, 68
63, 68
58, 70
59, 70
56, 71
55, 71
58, 71
59, 71
56, 72
55, 72
57, 72
64, 69
64, 68
56, 74
57, 74
56, 75
55, 76
55, 77
57, 77
56, 78
57, 78
40, 77
42, 77
41, 77
38, 79
38, 81
38, 80
44, 79
44, 81
44, 80
40, 83
42, 83
41, 83
53, 80
51, 81
53, 82
52, 80
54, 81
52, 82
58, 46
58, 45
58, 47
63, 44
65, 45
63, 46
64, 44
62, 45
64, 46
83, 107
85, 107
84, 107
83, 112
81, 113
83, 113
82, 112
82, 114
53, 119
54, 120
52, 121
53, 121
54, 119
52, 120
63, 129
64, 130
63, 130
64, 129
72, 145
74, 145
73, 147
73, 144
72, 146
74, 146
68, 149
70, 150
68, 151
69, 149
67, 150
69, 151
78, 149
76, 150
78, 151
77, 149
79, 150
77, 151
73, 153
72, 155
74, 155
72, 154
74, 154
73, 156
71, 125
72, 126
71, 126
72, 125
91, 127
89, 126
89, 128
89, 129
87, 128
89, 130
92, 126
90, 125
92, 125
92, 127
94, 127
93, 126
93, 125
95, 130
94, 131
93, 131
89, 125
87, 127
86, 127
94, 130
94, 132
96, 133
97, 133
96, 132
96, 134
95, 134
92, 135
93, 135
92, 134
88, 123
88, 122
89, 123
87, 122
87, 124
88, 125
86, 125
86, 126
87, 125
85, 126
86, 122
87, 120
86, 119
87, 119
85, 121
87, 121
88, 119
89, 135
89, 136
95, 135
86, 115
87, 117
86, 117
88, 114
88, 118
88, 113
89, 113
89, 117
89, 118
89, 119
90, 119
92, 118
91, 118
91, 115
91, 114
89, 112
90, 113
97, 125
96, 125
100, 129
101, 129
