16, 84
1, 95
16, 93
17, 58
35, 106
7, 35
17, 67
17, 85
5, 83
5, 92
57, 148
27, 107
27, 116
2, 41
0, 108
11, 108
10, 63
20, 95
12, 91
23, 91
3, 33
4, 87
13, 65
4, 96
14, 42
104, 192
16, 79
1, 90
16, 88
34, 124
1, 108
6, 34
11, 0
6, 52
9, 85
5, 96
6, 61
21, 59
49, 139
10, 40
3, 1
10, 49
12, 77
23, 77
2, 54
23, 95
12, 95
112, 200
4, 109
24, 96
9, 53
6, 38
10, 17
19, 84
2, 22
27, 106
11, 89
0, 107
11, 107
20, 85
23, 81
12, 81
12, 90
14, 32
16, 51
34, 105
16, 78
5, 41
17, 52
6, 15
66, 155
17, 61
5, 68
9, 66
5, 77
6, 42
7, 96
26, 109
18, 96
10, 21
19, 88
2, 17
30, 106
13, 32
3, 9
13, 41
20, 89
3, 18
23, 94
9, 34
121, 95
26, 104
8, 65
19, 65
59, 147
11, 70
10, 25
12, 44
2, 21
12, 53
2, 30
122, 95
4, 58
4, 67
16, 32
12, 80
1, 43
23, 80
10, 110
4, 76
13, 54
4, 85
81, 170
22, 93
5, 22
9, 20
16, 68
5, 31
5, 40
66, 154
114, 203
6, 23
7, 77
7, 95
26, 108
11, 56
88, 178
8, 78
19, 78
19, 87
2, 16
8, 87
11, 83
19, 96
11, 92
13, 22
12, 66
23, 75
13, 40
17, 1
4, 80
22, 79
3, 84
14, 93
9, 24
15, 67
95, 185
15, 76
74, 162
15, 94
26, 103
0, 60
11, 69
29, 105
12, 34
11, 78
21, 110
1, 15
113, 202
16, 31
2, 96
10, 109
22, 74
81, 169
14, 79
22, 92
3, 88
3, 97
43, 133
5, 39
103, 193
87, 176
15, 80
18, 76
7, 76
15, 89
8, 41
11, 37
18, 85
7, 85
28, 117
7, 94
18, 94
88, 177
21, 96
4, 25
12, 38
13, 3
4, 34
4, 43
4, 52
4, 61
17, 0
22, 78
22, 87
5, 16
9, 14
22, 96
3, 92
14, 92
18, 53
11, 41
36, 125
8, 54
19, 54
11, 50
0, 59
21, 91
4, 20
12, 33
21, 109
13, 16
1, 23
113, 201
10, 90
3, 60
10, 108
14, 60
15, 34
102, 191
3, 78
15, 52
43, 132
15, 61
8, 22
17, 89
11, 18
18, 66
17, 98
11, 36
65, 156
21, 77
4, 15
21, 95
4, 24
12, 37
13, 2
50, 140
10, 67
14, 46
10, 94
3, 55
3, 64
35, 105
7, 34
14, 82
72, 163
8, 17
11, 13
5, 91
11, 22
8, 35
9, 89
9, 98
5, 109
6, 83
11, 49
21, 81
58, 148
42, 131
3, 32
2, 76
14, 41
12, 108
3, 59
14, 59
14, 77
1, 107
64, 154
8, 21
5, 95
65, 155
12, 0
9, 111
21, 76
6, 87
4, 14
10, 84
14, 45
4, 108
16, 82
17, 65
17, 74
8, 16
17, 83
5, 81
57, 146
5, 108
27, 105
21, 80
10, 52
3, 13
3, 22
10, 70
3, 31
20, 111
4, 94
7, 1
18, 1
15, 32
5, 76
0, 7
9, 74
17, 87
11, 16
9, 83
10, 20
6, 77
8, 96
27, 118
2, 43
3, 8
10, 56
23, 84
12, 93
14, 44
4, 98
24, 76
4, 107
16, 90
5, 53
5, 62
0, 2
5, 80
5, 89
10, 15
10, 24
89, 177
2, 29
11, 96
19, 109
122, 94
14, 3
20, 83
79, 169
12, 79
111, 201
23, 88
3, 30
23, 97
1, 60
4, 93
18, 0
17, 32
16, 94
5, 57
6, 22
9, 55
5, 66
9, 64
5, 84
6, 58
19, 77
19, 95
20, 60
11, 109
20, 87
3, 16
4, 79
